StudNo,Description,Action,DateFiled,DateResolved
2001-98514,Exciting features of the service,disapproved,2 08 2004,30 04 2007
2022-75624,Benefits of using the software,resolved,28 07 2002,29 08 2016
2024-82602,Overview of the event,filed,26 05 2000,10 12 2014
2010-59831,Exciting features of the service,noted,11 01 2019,16 03 2022
2009-17931,Exciting features of the service,approved,5 12 2011,3 07 2004
2016-23838,Benefits of using the software,filed,22 01 2017,16 01 2013
2023-82337,Overview of the event,resolved,16 04 2007,22 02 2011
2019-62271,Detailed description of the product,noted,26 02 2018,9 06 2024
2012-67274,Detailed description of the product,filed,27 12 2001,25 05 2002
2021-56329,Benefits of using the software,filed,27 07 2014,1 08 2016
2001-27781,Description of the project goals,noted,4 08 2011,25 06 2004
2018-13808,Detailed description of the product,resolved,16 05 2021,19 05 2020
2004-10911,Detailed description of the product,filed,26 11 2018,5 05 2021
2001-94970,Description of the project goals,disapproved,13 06 2009,30 08 2005
2003-37326,Detailed description of the product,disapproved,22 11 2011,21 02 2011
2014-88455,Exciting features of the service,approved,18 10 2021,25 06 2010
2022-39792,Exciting features of the service,resolved,16 10 2004,11 07 2016
2013-66415,Overview of the event,noted,22 02 2020,22 06 2022
2004-84414,Description of the project goals,approved,26 05 2009,7 10 2000
2014-98388,Overview of the event,noted,16 11 2021,3 09 2019
2012-98965,Exciting features of the service,noted,29 09 2012,26 01 2019
2005-69629,Benefits of using the software,noted,26 11 2002,3 12 2014
2000-79808,Exciting features of the service,resolved,3 11 2006,5 03 2010
2018-30573,Benefits of using the software,disapproved,19 10 2006,24 10 2023
2001-58689,Benefits of using the software,noted,27 01 2015,8 09 2012
2007-79354,Overview of the event,approved,29 10 2013,8 11 2004
2010-48778,Detailed description of the product,filed,31 01 2015,23 04 2010
2011-87004,Exciting features of the service,filed,24 07 2001,27 08 2017
2014-82385,Detailed description of the product,disapproved,17 10 2006,11 07 2022
2015-72734,Exciting features of the service,approved,24 06 2009,9 06 2006
2006-76130,Exciting features of the service,disapproved,20 11 2013,13 03 2010
2015-66811,Exciting features of the service,resolved,25 10 2015,27 08 2024
2024-27318,Detailed description of the product,noted,4 10 2016,24 05 2002
2010-44416,Description of the project goals,noted,6 03 2019,19 03 2019
2014-63381,Detailed description of the product,noted,3 11 2006,13 12 2002
2022-57398,Overview of the event,noted,22 02 2024,6 04 2004
2015-79112,Overview of the event,approved,27 01 2009,17 02 2018
2012-79167,Benefits of using the software,filed,1 08 2023,20 03 2009
2011-42557,Description of the project goals,approved,11 07 2024,14 09 2009
2023-84326,Description of the project goals,approved,16 10 2021,29 08 2016
2022-37936,Detailed description of the product,resolved,30 01 2014,17 04 2007
2008-96716,Exciting features of the service,disapproved,6 01 2005,20 09 2011
2019-70009,Detailed description of the product,filed,7 01 2016,13 01 2013
2014-25725,Benefits of using the software,disapproved,3 09 2005,25 01 2006
2015-90982,Benefits of using the software,noted,7 12 2013,30 01 2006
2006-89007,Exciting features of the service,disapproved,21 01 2017,20 12 2016
2022-81236,Description of the project goals,approved,17 02 2005,5 01 2007
2003-44823,Description of the project goals,resolved,10 08 2002,6 04 2015
2020-18801,Detailed description of the product,filed,2 11 2003,24 02 2021
2002-86859,Exciting features of the service,resolved,11 03 2019,10 10 2022
2019-83397,Overview of the event,resolved,24 05 2013,10 08 2010
2024-28427,Overview of the event,disapproved,17 12 2010,6 06 2009
2008-88920,Benefits of using the software,disapproved,27 03 2013,21 10 2008
2011-86650,Benefits of using the software,resolved,30 08 2014,14 01 2014
2023-49446,Benefits of using the software,noted,16 08 2000,14 06 2024
2006-31900,Description of the project goals,resolved,21 02 2010,3 06 2005
2004-72632,Description of the project goals,resolved,14 09 2021,25 01 2024
2011-76290,Overview of the event,filed,9 11 2005,18 07 2016
2019-55569,Benefits of using the software,noted,5 03 2015,5 09 2024
2018-64924,Exciting features of the service,filed,4 01 2016,14 06 2024
2017-77805,Benefits of using the software,approved,3 07 2015,25 04 2001
2008-26876,Benefits of using the software,filed,19 01 2019,22 10 2002
2001-60133,Benefits of using the software,noted,30 11 2018,29 09 2017
2015-72009,Overview of the event,approved,3 07 2016,25 03 2008
2020-72487,Exciting features of the service,resolved,22 12 2009,28 01 2009
2009-49238,Exciting features of the service,filed,21 05 2004,11 06 2024
2019-97271,Benefits of using the software,disapproved,8 01 2019,8 10 2000
2014-50960,Exciting features of the service,filed,19 10 2006,6 02 2000
2019-16807,Description of the project goals,resolved,30 08 2020,3 11 2021
2006-60263,Detailed description of the product,resolved,17 10 2017,19 12 2009
2007-81615,Description of the project goals,resolved,31 12 2009,27 02 2001
2001-92058,Exciting features of the service,filed,17 04 2010,14 11 2013
2022-90939,Overview of the event,filed,3 11 2010,18 07 2007
2001-28555,Description of the project goals,approved,4 07 2019,23 03 2016
2010-55372,Description of the project goals,resolved,11 03 2002,15 11 2001
2013-93859,Overview of the event,disapproved,24 08 2020,7 01 2013
2017-67603,Benefits of using the software,approved,10 04 2019,9 05 2013
2011-76313,Description of the project goals,resolved,28 04 2018,1 01 2012
2023-37803,Overview of the event,approved,21 02 2008,16 10 2008
2006-79837,Overview of the event,approved,25 09 2001,20 02 2008
2004-88838,Overview of the event,resolved,29 05 2009,4 03 2013
2014-64528,Exciting features of the service,filed,20 10 2002,22 10 2008
2011-56925,Benefits of using the software,filed,16 02 2024,5 07 2023
2021-48208,Description of the project goals,noted,20 06 2019,24 10 2008
2023-91200,Overview of the event,approved,16 06 2013,30 05 2006
2019-59124,Benefits of using the software,filed,3 08 2007,13 08 2024
2001-95770,Exciting features of the service,filed,20 11 2006,1 08 2010
2011-58107,Exciting features of the service,noted,2 11 2006,9 08 2007
2019-81072,Overview of the event,filed,24 03 2018,28 02 2008
2015-28169,Detailed description of the product,filed,27 12 2021,28 01 2001
2002-33963,Benefits of using the software,disapproved,17 07 2019,11 09 2006
2007-14016,Benefits of using the software,disapproved,30 06 2021,2 12 2009
2005-21329,Detailed description of the product,approved,10 08 2000,28 03 2021
2018-20516,Benefits of using the software,filed,30 07 2019,2 09 2003
2020-21855,Detailed description of the product,noted,13 03 2005,7 11 2008
2024-96602,Description of the project goals,noted,20 01 2010,21 11 2011
2012-18683,Exciting features of the service,disapproved,14 03 2000,20 09 2000
2006-27755,Overview of the event,disapproved,4 08 2023,2 09 2017
2021-33801,Description of the project goals,disapproved,10 12 2020,15 05 2013
2010-16616,Overview of the event,filed,27 02 2013,5 08 2012
2011-17997,Detailed description of the product,resolved,23 11 2001,10 08 2008
2013-12230,Benefits of using the software,noted,25 09 2012,27 06 2003
2018-50548,Overview of the event,disapproved,14 08 2020,12 03 2014
2012-29281,Benefits of using the software,noted,27 12 2000,29 08 2006
2021-96780,Exciting features of the service,noted,14 11 2009,25 12 2012
2016-79858,Benefits of using the software,filed,22 08 2003,15 12 2022
2017-59590,Benefits of using the software,approved,24 06 2009,5 10 2004
2019-89797,Exciting features of the service,approved,27 02 2009,2 01 2013
2024-41023,Exciting features of the service,noted,16 03 2007,3 06 2017
2015-70812,Description of the project goals,disapproved,3 06 2013,31 10 2003
2017-66484,Overview of the event,disapproved,24 01 2002,16 11 2005
2015-79567,Description of the project goals,noted,11 06 2000,19 05 2004
2013-61210,Description of the project goals,approved,19 03 2018,26 05 2022
2018-86955,Detailed description of the product,filed,15 04 2012,17 09 2016
2000-87262,Detailed description of the product,filed,22 07 2008,9 03 2004
2003-50986,Description of the project goals,noted,5 01 2005,3 01 2012
2015-51925,Description of the project goals,filed,15 12 2013,17 04 2015
2014-38696,Detailed description of the product,filed,22 10 2009,6 01 2006
2020-23709,Description of the project goals,resolved,21 08 2024,11 06 2010
2009-72127,Overview of the event,disapproved,26 06 2014,31 12 2019
2006-77836,Overview of the event,disapproved,27 08 2014,8 05 2002
2019-11802,Benefits of using the software,noted,10 03 2009,18 04 2012
2023-21191,Exciting features of the service,noted,19 05 2016,5 02 2015
2002-43661,Detailed description of the product,approved,29 04 2008,4 09 2009
2015-25550,Detailed description of the product,approved,3 12 2009,13 09 2005
2023-14231,Description of the project goals,disapproved,7 12 2013,20 02 2003
2002-40633,Exciting features of the service,noted,27 02 2024,11 01 2005
2001-48755,Detailed description of the product,filed,1 02 2018,25 10 2006
2005-85704,Overview of the event,noted,23 07 2004,21 04 2007
2005-78247,Overview of the event,approved,7 08 2002,3 07 2005
2024-20554,Benefits of using the software,approved,22 01 2009,27 01 2008
2003-30800,Description of the project goals,noted,24 01 2005,13 06 2002
2000-81628,Detailed description of the product,filed,1 03 2012,13 02 2020
2010-20164,Detailed description of the product,approved,29 05 2018,11 06 2024
2002-22612,Description of the project goals,noted,10 10 2008,25 02 2020
2024-36730,Overview of the event,noted,17 03 2006,11 02 2005
2019-69381,Detailed description of the product,filed,26 05 2004,9 09 2011
2023-71794,Benefits of using the software,resolved,15 07 2010,4 10 2020
2013-48525,Description of the project goals,filed,29 02 2020,23 07 2016
2022-88091,Benefits of using the software,approved,31 12 2007,19 09 2004
2020-75558,Description of the project goals,noted,22 04 2000,10 09 2013
2022-92314,Description of the project goals,filed,15 09 2001,23 10 2011
2012-59981,Exciting features of the service,resolved,5 09 2001,17 08 2006
2020-28638,Benefits of using the software,resolved,14 11 2014,5 02 2002
2022-61937,Benefits of using the software,noted,31 01 2017,16 03 2022
2021-23870,Benefits of using the software,filed,7 10 2016,27 08 2001
2005-79033,Description of the project goals,noted,2 10 2010,26 12 2002
2014-89536,Description of the project goals,resolved,23 11 2010,29 04 2005
2013-32409,Description of the project goals,approved,18 04 2014,24 09 2003
2019-71386,Benefits of using the software,noted,28 01 2016,27 08 2004
2024-71118,Exciting features of the service,resolved,6 03 2014,9 09 2010
2009-91149,Description of the project goals,approved,2 06 2018,25 01 2007
2018-85962,Exciting features of the service,noted,4 10 2010,5 05 2013
2003-51450,Overview of the event,approved,11 02 2001,26 08 2008
2020-49205,Benefits of using the software,noted,23 03 2019,26 06 2017
2007-76377,Benefits of using the software,filed,14 05 2016,21 10 2009
2004-73591,Detailed description of the product,noted,1 08 2009,13 06 2021
2004-25909,Detailed description of the product,disapproved,30 01 2021,26 09 2008
2000-78765,Overview of the event,filed,15 01 2007,7 07 2022
2004-52723,Description of the project goals,resolved,27 09 2011,16 03 2005
2009-63468,Description of the project goals,approved,17 06 2005,12 07 2008
2011-97190,Benefits of using the software,disapproved,4 06 2011,22 03 2000
2021-38075,Overview of the event,resolved,4 06 2014,3 11 2010
2000-45104,Exciting features of the service,disapproved,5 07 2010,31 12 2002
2023-57528,Benefits of using the software,filed,12 08 2012,28 12 2020
2003-31964,Detailed description of the product,approved,20 09 2014,4 07 2018
2008-20917,Exciting features of the service,noted,27 10 2014,28 02 2007
2017-86535,Detailed description of the product,resolved,11 01 2004,3 07 2000
2018-47659,Exciting features of the service,resolved,12 03 2011,7 12 2007
2015-69017,Benefits of using the software,disapproved,7 12 2006,30 04 2016
2009-62483,Exciting features of the service,disapproved,15 01 2015,1 09 2014
2014-74615,Overview of the event,noted,4 04 2019,17 09 2007
2020-84038,Detailed description of the product,disapproved,10 02 2006,4 06 2024
2009-51041,Benefits of using the software,noted,22 04 2005,5 11 2002
2005-89119,Overview of the event,approved,30 12 2022,21 06 2020
2014-22313,Exciting features of the service,approved,29 04 2013,30 12 2002
2009-40968,Overview of the event,disapproved,29 03 2021,16 03 2022
2018-20163,Description of the project goals,filed,8 02 2008,26 03 2011
2002-16363,Exciting features of the service,noted,29 07 2007,18 01 2017
2011-53573,Exciting features of the service,approved,10 10 2004,19 05 2014
2002-88324,Benefits of using the software,disapproved,3 05 2013,14 02 2021
2024-24824,Exciting features of the service,filed,22 12 2018,26 09 2005
2009-97042,Detailed description of the product,resolved,1 10 2002,26 06 2000
2018-41706,Benefits of using the software,approved,24 01 2002,8 08 2020
2018-44994,Benefits of using the software,filed,30 07 2011,15 12 2006
2019-50119,Detailed description of the product,noted,16 08 2020,2 10 2021
2023-64428,Exciting features of the service,disapproved,27 04 2011,28 10 2001
2013-60680,Description of the project goals,disapproved,4 02 2002,17 01 2013
2000-61500,Overview of the event,noted,21 07 2020,30 12 2005
2018-12652,Overview of the event,noted,27 10 2010,11 04 2022
2021-38287,Overview of the event,disapproved,2 11 2006,22 05 2014
2016-54557,Exciting features of the service,noted,6 10 2001,2 08 2004
2024-98416,Overview of the event,noted,5 06 2007,4 03 2005
2012-26240,Detailed description of the product,resolved,10 09 2004,14 08 2002
2008-23909,Overview of the event,disapproved,25 04 2018,30 11 2004
2006-39334,Description of the project goals,resolved,14 02 2014,9 02 2000
2020-75642,Exciting features of the service,noted,11 09 2001,15 08 2021
2000-97222,Detailed description of the product,resolved,6 06 2015,11 01 2018
2021-68166,Exciting features of the service,approved,5 02 2012,9 05 2006
2011-73819,Benefits of using the software,filed,30 01 2012,15 09 2006
2021-48052,Benefits of using the software,disapproved,17 10 2001,26 10 2013
2013-17699,Detailed description of the product,approved,10 02 2014,22 03 2001
2017-31074,Benefits of using the software,approved,2 06 2000,19 03 2000
2009-35347,Description of the project goals,approved,9 01 2001,18 07 2008
2001-43219,Benefits of using the software,resolved,9 10 2006,5 02 2015
2009-16860,Detailed description of the product,filed,4 03 2024,30 01 2014
2002-84565,Benefits of using the software,filed,2 09 2010,31 10 2000
2005-34737,Description of the project goals,approved,1 08 2007,9 07 2004
2013-49274,Overview of the event,disapproved,28 06 2024,7 08 2017
2022-14210,Description of the project goals,filed,20 02 2013,10 02 2020
2007-67853,Description of the project goals,filed,30 07 2006,14 01 2017
2007-25525,Benefits of using the software,noted,30 05 2011,15 10 2018
2021-50217,Benefits of using the software,noted,14 07 2019,29 10 2019
2000-70398,Description of the project goals,noted,3 02 2020,5 03 2002
2011-50766,Benefits of using the software,resolved,22 09 2016,7 11 2005
2013-26409,Overview of the event,approved,7 11 2014,24 03 2003
2008-79929,Overview of the event,disapproved,13 05 2007,4 01 2024
2004-15875,Benefits of using the software,filed,24 10 2016,25 04 2006
2018-89099,Overview of the event,noted,14 02 2006,4 11 2015
2003-31790,Overview of the event,filed,5 12 2014,14 02 2016
2022-17325,Detailed description of the product,disapproved,29 08 2001,22 03 2004
2021-26083,Benefits of using the software,resolved,7 09 2010,19 12 2017
2013-35637,Benefits of using the software,resolved,10 05 2019,7 09 2011
2015-23490,Detailed description of the product,resolved,15 12 2000,2 09 2017
2007-69399,Exciting features of the service,resolved,9 03 2023,10 11 2007
2010-65535,Overview of the event,disapproved,28 02 2002,19 12 2023
2007-96067,Benefits of using the software,disapproved,12 01 2001,23 11 2012
2024-96968,Benefits of using the software,disapproved,27 04 2017,25 10 2000
2007-28457,Overview of the event,filed,4 09 2002,1 12 2017
2011-42178,Description of the project goals,disapproved,24 11 2005,23 05 2018
2012-39537,Description of the project goals,disapproved,5 07 2020,29 02 2008
2022-99562,Benefits of using the software,approved,15 07 2017,6 05 2012
2010-81007,Exciting features of the service,noted,3 12 2021,25 12 2001
2020-68401,Description of the project goals,disapproved,15 12 2019,31 12 2008
2019-17190,Exciting features of the service,filed,3 01 2002,13 12 2010
2010-91849,Exciting features of the service,resolved,5 08 2007,21 11 2017
2007-69057,Detailed description of the product,noted,8 05 2006,26 10 2005
2018-19707,Description of the project goals,disapproved,19 04 2007,3 01 2006
2010-89814,Exciting features of the service,filed,14 02 2019,26 04 2000
2022-27871,Benefits of using the software,disapproved,13 08 2015,27 08 2023
2007-97985,Description of the project goals,resolved,11 08 2008,3 04 2022
2007-89200,Description of the project goals,noted,10 03 2005,28 02 2002
2021-13040,Description of the project goals,resolved,27 10 2012,1 11 2019
2018-72713,Exciting features of the service,disapproved,13 04 2022,14 02 2021
2020-35442,Description of the project goals,approved,7 02 2000,23 07 2003
2008-54880,Overview of the event,resolved,31 07 2010,17 02 2019
2022-43948,Benefits of using the software,approved,8 06 2020,4 09 2007
2024-86558,Exciting features of the service,approved,29 02 2020,23 10 2016
2022-93961,Detailed description of the product,noted,26 02 2009,6 12 2003
2002-76693,Overview of the event,noted,1 03 2001,2 03 2021
2011-89251,Exciting features of the service,disapproved,1 12 2005,11 12 2000
2001-26033,Description of the project goals,noted,30 05 2020,24 01 2020
2023-79688,Detailed description of the product,filed,6 04 2016,24 10 2012
2013-59601,Detailed description of the product,approved,9 04 2002,6 01 2021
2024-77503,Benefits of using the software,resolved,16 01 2012,18 06 2020
2002-42574,Benefits of using the software,approved,2 03 2018,27 02 2013
2013-64783,Description of the project goals,resolved,20 05 2016,26 11 2019
2005-70101,Exciting features of the service,approved,26 05 2014,21 11 2005
2017-95516,Benefits of using the software,approved,15 01 2023,25 09 2008
2019-60069,Description of the project goals,noted,27 03 2022,25 12 2014
2005-40243,Detailed description of the product,resolved,28 10 2008,10 10 2020
2002-76841,Detailed description of the product,approved,20 06 2009,11 02 2020
2019-60005,Overview of the event,noted,28 08 2013,10 03 2004
2012-96534,Benefits of using the software,approved,1 10 2003,24 07 2009
2016-19862,Benefits of using the software,filed,9 05 2020,22 04 2014
2003-17251,Exciting features of the service,filed,8 07 2016,23 04 2022
2013-37308,Exciting features of the service,disapproved,3 11 2019,28 09 2022
2008-22789,Overview of the event,filed,8 10 2011,1 12 2004
2022-61233,Exciting features of the service,disapproved,6 05 2003,7 09 2019
2006-70772,Exciting features of the service,approved,30 07 2022,29 03 2012
2013-79683,Overview of the event,noted,12 06 2020,23 03 2011
2018-40045,Detailed description of the product,noted,24 09 2021,5 10 2013
2009-63866,Exciting features of the service,noted,8 06 2021,8 05 2010
2003-28605,Description of the project goals,approved,20 04 2007,8 10 2018
2000-83766,Benefits of using the software,resolved,17 09 2006,13 09 2007
2010-92504,Overview of the event,noted,15 02 2013,7 02 2019
2006-45576,Overview of the event,resolved,9 06 2005,3 04 2002
2005-25238,Description of the project goals,resolved,12 02 2002,13 11 2020
2022-50986,Exciting features of the service,approved,30 06 2016,18 12 2006
2014-80944,Exciting features of the service,filed,19 11 2007,2 03 2006
2009-88540,Exciting features of the service,filed,24 05 2014,25 04 2024
2006-19351,Overview of the event,approved,12 08 2004,28 08 2021
2022-27910,Description of the project goals,noted,10 04 2007,25 12 2009
2017-45508,Description of the project goals,disapproved,19 12 2007,17 02 2014
2016-66612,Description of the project goals,noted,14 10 2006,24 03 2002
2011-33128,Description of the project goals,disapproved,5 03 2009,24 04 2006
2010-64695,Benefits of using the software,resolved,28 05 2011,22 09 2003
2001-29058,Benefits of using the software,filed,15 04 2016,6 05 2004
2014-67769,Description of the project goals,disapproved,12 07 2012,6 07 2013
2002-26029,Overview of the event,resolved,8 04 2013,30 03 2023
2000-32323,Benefits of using the software,disapproved,24 01 2001,15 03 2001
2019-90563,Description of the project goals,disapproved,29 04 2015,10 12 2009
2015-71519,Detailed description of the product,disapproved,25 01 2015,21 11 2004
2023-36017,Exciting features of the service,resolved,6 06 2001,11 11 2018
2021-83970,Benefits of using the software,disapproved,28 10 2014,31 08 2019
2024-71804,Detailed description of the product,noted,3 05 2003,4 04 2017
2005-91185,Description of the project goals,approved,2 07 2019,27 06 2002
2001-23135,Exciting features of the service,disapproved,26 01 2008,15 12 2020
2001-27875,Exciting features of the service,noted,9 12 2009,3 05 2013
2003-73307,Description of the project goals,approved,12 03 2003,28 05 2024
2011-50296,Benefits of using the software,disapproved,20 07 2001,4 04 2014
2015-81149,Description of the project goals,resolved,17 11 2000,26 12 2001
2015-20508,Overview of the event,filed,20 11 2010,19 03 2006
2024-80674,Benefits of using the software,filed,23 08 2003,17 02 2004
2007-69930,Detailed description of the product,filed,9 11 2021,17 06 2000
2023-98330,Overview of the event,approved,21 03 2014,29 08 2016
2002-76780,Benefits of using the software,resolved,11 06 2006,22 05 2015
2018-77469,Exciting features of the service,filed,25 01 2020,3 01 2011
2001-33252,Detailed description of the product,filed,20 06 2011,20 04 2022
2002-89702,Overview of the event,filed,30 01 2020,1 10 2004
2014-58821,Benefits of using the software,noted,7 03 2004,27 06 2008
2000-93931,Exciting features of the service,noted,4 04 2014,23 09 2023
2014-49440,Overview of the event,resolved,1 10 2010,2 08 2013
2021-80740,Detailed description of the product,filed,20 12 2015,8 06 2011
2011-42201,Benefits of using the software,disapproved,12 02 2003,27 04 2019
2012-19052,Description of the project goals,resolved,10 09 2007,21 01 2019
2009-72604,Overview of the event,approved,21 08 2022,23 11 2021
2006-93551,Detailed description of the product,filed,10 01 2007,12 01 2002
2000-84055,Description of the project goals,noted,2 07 2019,6 10 2006
2004-82976,Description of the project goals,disapproved,25 04 2013,24 11 2005
2010-47570,Description of the project goals,disapproved,3 05 2011,8 10 2021
2018-34941,Description of the project goals,resolved,3 08 2000,15 12 2022
2021-69388,Benefits of using the software,resolved,30 03 2015,10 06 2010
2012-76747,Detailed description of the product,filed,20 07 2003,5 02 2014
2012-67023,Detailed description of the product,approved,22 08 2016,25 01 2003
2008-11094,Detailed description of the product,approved,22 10 2008,2 09 2022
2014-35727,Benefits of using the software,disapproved,9 05 2008,22 05 2021
2023-35257,Detailed description of the product,noted,10 10 2001,11 08 2006
2003-16326,Detailed description of the product,approved,25 02 2000,6 04 2007
2018-17340,Benefits of using the software,approved,16 06 2017,5 04 2004
2000-34690,Description of the project goals,disapproved,3 02 2019,19 08 2012
2005-52837,Benefits of using the software,approved,29 05 2003,11 08 2010
2010-56756,Detailed description of the product,approved,15 09 2010,11 09 2009
2009-68338,Benefits of using the software,approved,17 04 2010,21 04 2014
2003-41057,Exciting features of the service,filed,12 05 2005,18 09 2006
2012-16148,Description of the project goals,approved,12 02 2011,16 01 2021
2010-84400,Detailed description of the product,noted,21 07 2021,12 12 2005
2012-68928,Exciting features of the service,noted,22 12 2005,25 03 2024
2007-52907,Detailed description of the product,noted,19 01 2021,19 11 2019
2023-55662,Overview of the event,noted,19 04 2008,29 04 2001
2004-82490,Benefits of using the software,resolved,15 02 2020,10 10 2006
2020-65867,Benefits of using the software,filed,21 05 2024,3 01 2016
2008-66983,Detailed description of the product,disapproved,24 04 2012,14 05 2013
2014-18672,Description of the project goals,noted,29 11 2017,19 11 2002
2018-21424,Exciting features of the service,approved,4 12 2004,30 04 2018
2010-73639,Description of the project goals,noted,26 01 2015,8 12 2014
2003-17289,Overview of the event,disapproved,12 07 2016,12 09 2010
2000-62781,Exciting features of the service,resolved,16 01 2005,1 11 2022
2023-75651,Exciting features of the service,disapproved,30 04 2005,6 03 2021
2013-86617,Exciting features of the service,noted,8 03 2016,15 01 2019
2012-66705,Exciting features of the service,noted,10 10 2004,12 12 2003
2006-60961,Description of the project goals,resolved,14 08 2002,1 11 2012
2021-89632,Detailed description of the product,filed,21 12 2017,19 04 2001
2017-88650,Overview of the event,approved,12 02 2021,4 11 2021
2001-70011,Benefits of using the software,noted,22 04 2021,19 07 2010
2003-23801,Detailed description of the product,approved,1 04 2001,29 06 2023
2003-17185,Exciting features of the service,resolved,2 12 2018,24 08 2002
2016-53983,Overview of the event,resolved,15 06 2005,29 07 2018
2011-70990,Benefits of using the software,disapproved,10 04 2012,21 04 2023
2005-95509,Overview of the event,filed,12 07 2000,16 10 2020
2010-87197,Exciting features of the service,noted,24 05 2005,3 06 2009
2020-56900,Overview of the event,approved,19 01 2010,24 09 2015
2009-86652,Detailed description of the product,approved,7 05 2023,9 11 2011
2022-96815,Detailed description of the product,approved,30 08 2015,28 07 2003
2004-11345,Exciting features of the service,resolved,14 09 2020,11 05 2003
2021-28115,Overview of the event,noted,21 04 2018,8 07 2008
2013-38216,Benefits of using the software,filed,9 07 2016,7 02 2016
2001-19715,Detailed description of the product,filed,6 10 2005,3 06 2012
2006-71276,Detailed description of the product,approved,26 12 2002,4 02 2011
2021-20113,Detailed description of the product,approved,11 07 2016,29 04 2009
2013-28299,Exciting features of the service,noted,11 04 2021,7 08 2024
2011-48243,Description of the project goals,approved,2 01 2020,12 08 2003
2004-72343,Exciting features of the service,approved,28 06 2017,30 01 2005
2008-63209,Overview of the event,disapproved,24 09 2020,10 10 2013
2007-84213,Description of the project goals,disapproved,13 02 2020,22 06 2016
2005-67418,Detailed description of the product,filed,22 03 2010,12 08 2002
2002-24116,Exciting features of the service,filed,19 05 2001,8 08 2004
2022-66451,Overview of the event,disapproved,24 01 2013,25 10 2020
2000-65121,Overview of the event,noted,24 07 2016,29 04 2012
2018-58928,Description of the project goals,filed,31 10 2009,11 09 2017
2019-35494,Overview of the event,filed,21 05 2017,6 06 2007
2003-58980,Overview of the event,disapproved,12 01 2004,1 09 2003
2016-60574,Description of the project goals,noted,20 01 2005,29 11 2017
2007-72579,Exciting features of the service,filed,15 10 2007,12 11 2023
2021-48341,Exciting features of the service,filed,29 12 2005,3 02 2002
2004-50796,Description of the project goals,approved,15 10 2011,6 04 2010
2001-78793,Benefits of using the software,filed,25 11 2000,25 01 2002
2017-71748,Description of the project goals,approved,26 10 2006,2 06 2018
2003-54410,Detailed description of the product,resolved,8 11 2016,16 11 2003
2007-64904,Exciting features of the service,resolved,3 06 2022,7 01 2020
2019-73850,Benefits of using the software,filed,1 01 2022,22 10 2006
2016-58090,Exciting features of the service,resolved,15 07 2013,2 07 2018
2015-43870,Overview of the event,noted,15 04 2022,27 01 2023
2002-15329,Exciting features of the service,approved,1 02 2014,9 04 2005
2004-31269,Description of the project goals,resolved,6 07 2005,16 01 2023
2014-17373,Benefits of using the software,noted,31 10 2011,19 07 2013
2022-28379,Detailed description of the product,noted,2 12 2008,17 06 2023
2007-42972,Detailed description of the product,filed,13 02 2013,3 08 2001
2009-61568,Benefits of using the software,noted,31 07 2022,19 11 2021
2003-66511,Exciting features of the service,noted,1 08 2006,19 01 2002
2003-42746,Overview of the event,resolved,12 09 2002,23 10 2018
2001-25515,Detailed description of the product,filed,22 10 2021,1 06 2000
2005-82133,Exciting features of the service,disapproved,4 06 2020,11 11 2016
2006-14966,Detailed description of the product,disapproved,9 07 2002,15 06 2020
2017-54972,Description of the project goals,resolved,18 02 2016,9 04 2010
2014-35428,Detailed description of the product,filed,31 05 2022,8 07 2015
2005-23206,Description of the project goals,approved,3 06 2016,19 08 2008
2011-96344,Benefits of using the software,approved,20 07 2023,17 07 2013
2018-75286,Benefits of using the software,disapproved,21 09 2008,19 10 2018
2016-67491,Exciting features of the service,approved,6 06 2021,14 06 2024
2006-99299,Benefits of using the software,resolved,6 10 2018,30 11 2006
2005-61906,Description of the project goals,resolved,30 03 2006,15 05 2008
2019-52746,Detailed description of the product,noted,23 11 2013,12 11 2021
2015-12412,Detailed description of the product,filed,1 07 2002,22 06 2019
2006-87493,Overview of the event,resolved,16 04 2011,10 07 2015
2023-72728,Exciting features of the service,noted,30 03 2016,1 05 2018
2021-18809,Benefits of using the software,disapproved,19 10 2001,13 06 2016
2023-36637,Benefits of using the software,noted,29 06 2007,28 06 2001
2019-46773,Detailed description of the product,disapproved,3 10 2017,18 06 2012
2024-87200,Detailed description of the product,disapproved,2 08 2008,5 05 2021
2020-45879,Exciting features of the service,filed,12 10 2007,13 07 2005
2016-72400,Description of the project goals,filed,25 07 2006,7 05 2023
2016-43503,Description of the project goals,approved,25 08 2014,17 07 2003
2023-11135,Description of the project goals,resolved,24 09 2012,1 02 2002
2010-61619,Benefits of using the software,disapproved,17 02 2011,16 08 2010
2004-49395,Overview of the event,noted,31 01 2023,20 06 2000
2015-55320,Description of the project goals,disapproved,14 08 2016,26 03 2002
2012-85909,Overview of the event,disapproved,19 06 2020,5 02 2009
2003-11736,Overview of the event,disapproved,12 09 2021,30 08 2014
2001-86007,Benefits of using the software,approved,2 07 2007,13 04 2005
2015-79430,Detailed description of the product,resolved,20 11 2016,21 11 2000
2023-22796,Benefits of using the software,filed,31 08 2017,17 12 2022
2009-49854,Description of the project goals,noted,27 01 2013,1 04 2011
2024-18799,Description of the project goals,filed,11 11 2005,11 02 2005
2013-17311,Overview of the event,resolved,1 07 2004,2 10 2019
2022-34966,Exciting features of the service,disapproved,8 10 2010,27 12 2006
